Group1; SecondsElapsed; DateTimePC; N95_NTC1 | N95_NTC2 | N95_TestSB || N13_NTC1 | N13_NTC2 | N13_TestSB || N18_NTC1 | N18_NTC2 | N18_TestSB || N19_NTC1 | N19_NTC2 | N19_TestSB || N25_NTC1 | N25_NTC2 | N25_TestSB
Group1; 503.208583; 2026-07-07 07:49:30.308353; 855145 | 856674 | 856967 || 855371 | 855418 | 857358 || 857016 | 856014 | 855947 || 856580 | 854700 | 854910 || 854883 | 856186 | 856757
Group1; 514.648228; 2026-07-07 07:49:41.747998; 855343 | 856923 | 857023 || 855875 | 855595 | 857537 || 857202 | 856186 | 856157 || 856748 | 854939 | 855257 || 855157 | 856479 | 857103
Group1; 526.087779; 2026-07-07 07:49:53.187549; 855575 | 857086 | 857192 || 855736 | 855572 | 857772 || 857350 | 856377 | 856264 || 856941 | 854972 | 855011 || 855093 | 856353 | 857021
Group1; 537.527535; 2026-07-07 07:50:04.627305; 855502 | 856934 | 856920 || 855644 | 855329 | 857649 || 857282 | 856363 | 856025 || 856893 | 854827 | 854894 || 854932 | 856187 | 856767
Group1; 548.95092; 2026-07-07 07:50:16.050690; 855216 | 856628 | 856900 || 855637 | 855529 | 857644 || 857223 | 856240 | 855896 || 856618 | 854542 | 854628 || 854603 | 855878 | 856509
Group1; 560.390514; 2026-07-07 07:50:27.490284; 854927 | 856494 | 856620 || 855380 | 855381 | 857396 || 857016 | 856061 | 855849 || 856366 | 854309 | 854630 || 854479 | 855895 | 856564
Group1; 571.829893; 2026-07-07 07:50:38.929663; 854964 | 856441 | 856612 || 855383 | 855032 | 857402 || 856853 | 855891 | 855675 || 856332 | 854234 | 854411 || 854404 | 855772 | 856608
Group1; 583.269697; 2026-07-07 07:50:50.369467; 854989 | 856865 | 856983 || 855606 | 855252 | 857116 || 856858 | 855969 | 855945 || 856503 | 854715 | 854783 || 854972 | 856246 | 857033
Group1; 594.693067; 2026-07-07 07:51:01.792837; 855509 | 856990 | 857068 || 855722 | 855570 | 857675 || 857216 | 856213 | 856177 || 856922 | 855176 | 855357 || 855327 | 856618 | 857250
Group1; 606.132694; 2026-07-07 07:51:13.232464; 855763 | 857290 | 857452 || 856435 | 856125 | 858298 || 857640 | 856569 | 856736 || 857253 | 855413 | 855635 || 855465 | 856792 | 857530
Group1; 617.572163; 2026-07-07 07:51:24.671933; 855810 | 857510 | 857650 || 856403 | 856261 | 858037 || 857854 | 856692 | 856571 || 857286 | 855331 | 855514 || 855505 | 856855 | 857464
Group1; 629.01186; 2026-07-07 07:51:36.111630; 855959 | 857246 | 857399 || 856145 | 855959 | 858085 || 857767 | 856687 | 856380 || 857190 | 854966 | 855102 || 855178 | 856480 | 857250
Group1; 640.451169; 2026-07-07 07:51:47.550939; 855699 | 857126 | 857305 || 855727 | 855524 | 857824 || 857548 | 856572 | 856320 || 856979 | 855003 | 854941 || 855125 | 856329 | 857068
Group1; 651.874956; 2026-07-07 07:51:58.974726; 855779 | 857325 | 857328 || 856027 | 855996 | 857959 || 857605 | 856591 | 856428 || 857121 | 855039 | 855229 || 854997 | 856259 | 856927
Group1; 663.314341; 2026-07-07 07:52:10.414111; 855363 | 856918 | 857350 || 855893 | 855946 | 858051 || 857533 | 856603 | 856463 || 856923 | 854962 | 855083 || 855221 | 856505 | 857180
Group1; 674.754054; 2026-07-07 07:52:21.853824; 855709 | 857105 | 857187 || 855844 | 855570 | 857963 || 857395 | 856519 | 856372 || 856999 | 855168 | 855419 || 855394 | 856737 | 857322
Group1; 686.193411; 2026-07-07 07:52:33.293181; 855784 | 857159 | 857268 || 856066 | 855778 | 858094 || 857579 | 856600 | 856515 || 857162 | 855279 | 855506 || 855452 | 856871 | 857593
Group1; 697.617302; 2026-07-07 07:52:44.717072; 856061 | 857604 | 857750 || 856275 | 856175 | 858306 || 857741 | 856797 | 856756 || 857390 | 855429 | 855623 || 855713 | 856961 | 857561
Group2; SecondsElapsed; DateTimePC; N26_NTC1 | N26_NTC2 | N26_TestSB || N28_NTC1 | N28_NTC2 | N28_TestSB || N35_NTC1 | N35_NTC2 | N35_TestSB || N62_NTC1 | N62_NTC2 | N62_TestSB || N85_NTC1 | N85_NTC2 | N85_TestSB
Group2; 697.693066; 2026-07-07 07:52:44.792836; New Node Array: 26 28 35 62 85
Group2; 697.693204; 2026-07-07 07:52:44.792974; 
Group2; 709.10071; 2026-07-07 07:52:56.200480; N26_NTC1 | N26_NTC2 | N26_TestSB || N28_NTC1 | N28_NTC2 | N28_TestSB || N35_NTC1 | N35_NTC2 | N35_TestSB || N62_NTC1 | N62_NTC2 | N62_TestSB || N85_NTC1 | N85_NTC2 | N85_TestSB
Group2; 720.540308; 2026-07-07 07:53:07.640078; 856519 | 857203 | 857328 || 855204 | 16777216 | 857336 || 859538 | 856178 | 854856 || 856213 | 858823 | 857452 || 857951 | 855740 | 856365
Group2; 731.979717; 2026-07-07 07:53:19.079487; 856467 | 857325 | 857751 || 855350 | 16777216 | 857508 || 859733 | 856486 | 854993 || 856306 | 859081 | 857705 || 858169 | 856010 | 856535
Group2; 743.403404; 2026-07-07 07:53:30.503174; 856845 | 857815 | 858158 || 855663 | 16777216 | 857639 || 859832 | 856586 | 855246 || 856524 | 859300 | 858040 || 858475 | 856290 | 856785
Group2; 754.842837; 2026-07-07 07:53:41.942607; 857050 | 857739 | 858045 || 855795 | 16777216 | 857842 || 860038 | 856721 | 855320 || 856564 | 859193 | 857828 || 858427 | 856153 | 856800
Group2; 766.282537; 2026-07-07 07:53:53.382307; 856947 | 857856 | 858282 || 856139 | 16777216 | 858075 || 860233 | 856899 | 855227 || 856612 | 859361 | 857917 || 858490 | 856271 | 856846
Group2; 777.722079; 2026-07-07 07:54:04.821849; 857139 | 858236 | 858479 || 856051 | 16777216 | 858143 || 860289 | 857007 | 855444 || 856644 | 859297 | 858017 || 858485 | 856409 | 856992
Group2; 789.161425; 2026-07-07 07:54:16.261195; 857384 | 858333 | 858634 || 856420 | 16777216 | 857997 || 860406 | 856860 | 855556 || 856865 | 859714 | 858560 || 858952 | 856811 | 857257
Group2; 800.585052; 2026-07-07 07:54:27.684822; 857650 | 858570 | 858869 || 856379 | 16777216 | 858286 || 860341 | 856958 | 855447 || 856689 | 859866 | 858601 || 858932 | 856868 | 857350
Group2; 812.024726; 2026-07-07 07:54:39.124496; 857575 | 858298 | 858470 || 856031 | 16777216 | 858063 || 860299 | 857231 | 855735 || 857171 | 859758 | 858419 || 858878 | 856636 | 857236
Group2; 823.464465; 2026-07-07 07:54:50.564235; 857364 | 858153 | 858366 || 855870 | 16777216 | 857924 || 860217 | 856842 | 855464 || 856818 | 859647 | 858294 || 858815 | 856641 | 857109
Group2; 834.903716; 2026-07-07 07:55:02.003486; 857412 | 858197 | 858514 || 856190 | 16777216 | 858240 || 860474 | 857191 | 855651 || 857027 | 859859 | 858541 || 858963 | 856797 | 857314
Group2; 846.327354; 2026-07-07 07:55:13.427124; 857592 | 858316 | 858594 || 856201 | 16777216 | 858482 || 860513 | 857298 | 855850 || 857087 | 860117 | 858934 || 859100 | 857061 | 857507
Group2; 857.766897; 2026-07-07 07:55:24.866667; 857989 | 858622 | 858967 || 856390 | 16777216 | 858240 || 860474 | 857258 | 855808 || 856995 | 859920 | 858613 || 859077 | 856951 | 857478
Group2; 869.206345; 2026-07-07 07:55:36.306115; 857740 | 858518 | 858792 || 856410 | 16777216 | 858376 || 860621 | 857350 | 855816 || 857367 | 860118 | 858667 || 859280 | 856937 | 857464
Group2; 880.645978; 2026-07-07 07:55:47.745748; 857739 | 858463 | 858785 || 856618 | 16777216 | 858645 || 860870 | 857574 | 855911 || 857170 | 859754 | 858362 || 858960 | 856679 | 857313
Group2; 892.085578; 2026-07-07 07:55:59.185348; 857393 | 858462 | 858960 || 856612 | 16777216 | 858643 || 860755 | 857472 | 855858 || 857157 | 859746 | 858437 || 858947 | 856686 | 857443
Group2; 903.508983; 2026-07-07 07:56:10.608753; 857583 | 858566 | 858832 || 856314 | 16777216 | 858244 || 860338 | 857112 | 855602 || 856844 | 859567 | 858198 || 858891 | 856540 | 857305
Group2; 914.948553; 2026-07-07 07:56:22.048323; 857510 | 858396 | 858683 || 856308 | 16777216 | 857990 || 860326 | 856981 | 855492 || 856943 | 859752 | 858511 || 859034 | 856784 | 857292
Group2; 926.388106; 2026-07-07 07:56:33.487876; 857596 | 858229 | 858624 || 856169 | 16777216 | 858353 || 860588 | 857343 | 855960 || 857280 | 860100 | 858919 || 859213 | 857036 | 857519
Group2; 937.827978; 2026-07-07 07:56:44.927748; 857892 | 858626 | 858893 || 856374 | 16777216 | 858316 || 860556 | 857220 | 855931 || 857212 | 860199 | 858845 || 859292 | 857128 | 857599
Group2; 949.267219; 2026-07-07 07:56:56.366989; 857978 | 858739 | 859083 || 856702 | 16777216 | 858618 || 860760 | 857392 | 855951 || 857307 | 860131 | 858861 || 859195 | 857027 | 857636
