Group1; SecondsElapsed; DateTimePC; N88_NTC1 | N88_NTC2 | N88_TestSB || N89_NTC1 | N89_NTC2 | N89_TestSB || N90_NTC1 | N90_NTC2 | N90_TestSB || N91_NTC1 | N91_NTC2 | N91_TestSB
Group1; 375.166937; 2026-07-03 19:11:06.287650; 1287634 | 1281195 | 1283373 || 1281950 | 1284948 | 1284831 || 1280887 | 1285351 | 1285845 || 1282375 | 1281738 | 1281915
Group1; 384.318877; 2026-07-03 19:11:15.439590; 1287808 | 1281427 | 1283515 || 1282236 | 1284794 | 1284820 || 1281082 | 1285170 | 1285404 || 1282354 | 1281551 | 1281639
Group1; 393.470407; 2026-07-03 19:11:24.591120; 1287698 | 1281133 | 1283120 || 1282104 | 1285188 | 1285028 || 1281093 | 1285990 | 1286199 || 1282777 | 1282157 | 1281802
Group1; 402.622134; 2026-07-03 19:11:33.742847; 1287963 | 1281552 | 1283469 || 1282203 | 1285686 | 1285536 || 1281416 | 1286289 | 1286329 || 1283013 | 1282120 | 1282152
Group1; 411.773701; 2026-07-03 19:11:42.894414; 1288103 | 1281829 | 1283913 || 1282606 | 1285930 | 1285563 || 1281814 | 1286550 | 1286849 || 1283593 | 1282986 | 1283009
Group1; 420.925265; 2026-07-03 19:11:52.045978; 1288918 | 1282390 | 1284401 || 1283066 | 1286120 | 1286110 || 1282014 | 1286635 | 1286837 || 1283492 | 1282953 | 1282874
Group1; 430.07698; 2026-07-03 19:12:01.197693; 1288757 | 1282453 | 1284474 || 1283124 | 1286208 | 1286036 || 1282101 | 1286595 | 1286610 || 1283468 | 1282690 | 1282235
Group1; 439.212623; 2026-07-03 19:12:10.333336; 1288505 | 1282144 | 1284144 || 1282689 | 1285487 | 1285444 || 1281425 | 1285790 | 1285949 || 1282722 | 1281877 | 1281886
Group1; 448.364245; 2026-07-03 19:12:19.484958; 1288000 | 1281653 | 1283692 || 1282344 | 1285191 | 1285081 || 1281125 | 1285209 | 1285317 || 1282284 | 1281502 | 1281373
Group1; 457.515974; 2026-07-03 19:12:28.636687; 1287548 | 1281102 | 1283160 || 1281927 | 1285101 | 1284764 || 1280836 | 1284969 | 1285006 || 1281894 | 1281016 | 1280750
Group1; 466.667621; 2026-07-03 19:12:37.788334; 1287040 | 1280750 | 1282732 || 1281510 | 1285195 | 1284806 || 1280887 | 1285669 | 1285490 || 1282410 | 1281407 | 1281014
