Group1; SecondsElapsed; DateTimePC; N95_NTC1 | N95_NTC2 | N95_TestSB || N13_NTC1 | N13_NTC2 | N13_TestSB || N18_NTC1 | N18_NTC2 | N18_TestSB || N19_NTC1 | N19_NTC2 | N19_TestSB || N25_NTC1 | N25_NTC2 | N25_TestSB || N26_NTC1 | N26_NTC2 | N26_TestSB || N28_NTC1 | N28_NTC2 | N28_TestSB || N35_NTC1 | N35_NTC2 | N35_TestSB || N62_NTC1 | N62_NTC2 | N62_TestSB || N85_NTC1 | N85_NTC2 | N85_TestSB || N86_NTC1 | N86_NTC2 | N86_TestSB || N87_NTC1 | N87_NTC2 | N87_TestSB || N98_NTC1 | N98_NTC2 | N98_TestSB
Group1; 565.762372; 2026-07-07 11:15:43.473072; 1152856 | 1155546 | 1155777 || 1154144 | 1154268 | 1157543 || 1153386 | 1151544 | 1153238 || 1156376 | 1155486 | 1156443 || 1156486 | 1159917 | 1161222 || 1159025 | 1161340 | 1162554 || 1159846 | 16777216 | 1162962 || 1165664 | 1162387 | 1160358 || 1162296 | 1166987 | 1165329 || 1163674 | 1161338 | 1161969 || 1166986 | 1168716 | 1166301 || 1169441 | 1169146 | 1169183 || 1169941 | 1172292 | 1169557; TOFFMS=0|768|1520|2288|3056|3808|4576|5344|6096|6864|7632|8384|9152|9920|10672|11440|12207|12959|13727|14495|15248|16015|16767|17535|18303|19055|19823|20591|21343|22111|22879|23631|24399|25167|25919|26687|27455|28207|28975
Group1; 595.505148; 2026-07-07 11:16:13.215848; 1169868 | 1173084 | 1173429 || 1171016 | 1171994 | 1175866 || 1170533 | 1168916 | 1173048 || 1174061 | 1173556 | 1174407 || 1174729 | 1177356 | 1178639 || 1176593 | 1179019 | 1179777 || 1177613 | 16777216 | 1181043 || 1183600 | 1179874 | 1178162 || 1180369 | 1184744 | 1183717 || 1181236 | 1179511 | 1179471 || 1184819 | 1186303 | 1184654 || 1186984 | 1186769 | 1187344 || 1187890 | 1189893 | 1187051; TOFFMS=0|752|1520|2288|3040|3808|4576|5328|6096|6846|7612|8378|9128|9894|10660|11411|12178|12944|13694|14461|15228|15978|16745|17512|18263|19030|19797|20548|21315|22067|22834|23601|24352|25120|25887|26638|27406|28173|28924
Group1; 625.19723; 2026-07-07 11:16:42.907930; 1187965 | 1190377 | 1190320 || 1189140 | 1189302 | 1193080 || 1188397 | 1184218 | 1190980 || 1191510 | 1190791 | 1192419 || 1192075 | 1194850 | 1196725 || 1194084 | 1196296 | 1197258 || 1195104 | 16777216 | 1198942 || 1200977 | 1197549 | 1196235 || 1197834 | 1202668 | 1201204 || 1199078 | 1197364 | 1195877 || 1202284 | 1204046 | 1201431 || 1204806 | 1204404 | 1204373 || 1205427 | 1207873 | 1204529; TOFFMS=0|767|1519|2287|3054|3806|4573|5341|6092|6861|7628|8380|9147|9915|10667|11435|12202|12954|13722|14490|15241|16009|16761|17529|18296|19048|19816|20584|21336|22104|22872|23623|24391|25159|25911|26679|27447|28198|28966
Group1; 654.931448; 2026-07-07 11:17:12.642148; 1205399 | 1207981 | 1208298 || 1206503 | 1206964 | 1210263 || 1205608 | 1202101 | 1207642 || 1209801 | 1208629 | 1209632 || 1209773 | 1212539 | 1214312 || 1211827 | 1214080 | 1215719 || 1212867 | 16777216 | 1216229 || 1219065 | 1215415 | 1213440 || 1215483 | 1220702 | 1218737 || 1216741 | 1213885 | 1214563 || 1220326 | 1222111 | 1219727 || 1222444 | 1222397 | 1222461 || 1223476 | 1225910 | 1222002; TOFFMS=0|752|1520|2288|3040|3808|4575|5327|6095|6847|7615|8383|9135|9903|10671|11423|12191|12959|13711|14479|15246|15999|16767|17534|18286|19054|19822|20574|21342|22110|22862|23630|24382|25150|25918|26670|27438|28206|28958
Group1; 684.657012; 2026-07-07 11:17:42.367712; 1223233 | 1225999 | 1225735 || 1224505 | 1225097 | 1229110 || 1223249 | 1221445 | 1226612 || 1227198 | 1226865 | 1227528 || 1228022 | 1230545 | 1232144 || 1230004 | 1232467 | 1233169 || 1230897 | 16777216 | 1234458 || 1236968 | 1233310 | 1231447 || 1233816 | 1238879 | 1236504 || 1235085 | 1232705 | 1232105 || 1238627 | 1240521 | 1237655 || 1241084 | 1240445 | 1240334 || 1241613 | 1244192 | 1240459; TOFFMS=0|768|1520|2288|3056|3808|4576|5344|6096|6864|7632|8384|9152|9920|10672|11439|12208|12960|13727|14495|15247|16015|16767|17535|18303|19055|19823|20591|21343|22111|22879|23631|24399|25167|25919|26687|27455|28207|28975
Group1; 714.399428; 2026-07-07 11:18:12.110128; 1242035 | 1244601 | 1244605 || 1243000 | 1243072 | 1246911 || 1242080 | 1239290 | 1244140 || 1245649 | 1244741 | 1245846 || 1246354 | 1249153 | 1250880 || 1248353 | 1250684 | 1251330 || 1249556 | 16777216 | 1252516 || 1256219 | 1252158 | 1249847 || 1252563 | 1257226 | 1255367 || 1253701 | 1251332 | 1251109 || 1256693 | 1258477 | 1256438 || 1259718 | 1258837 | 1259405 || 1260288 | 1262098 | 1258978; TOFFMS=0|752|1520|2288|3041|3808|4576|5328|6096|6848|7616|8384|9136|9904|10672|11424|12192|12960|13712|14480|15248|15999|16768|17536|18288|19055|19823|20575|21343|22111|22863|23632|24383|25151|25919|26671|27439|28207|28959
Group1; 744.126491; 2026-07-07 11:18:41.837191; 1260239 | 1263164 | 1263568 || 1261688 | 1262204 | 1264912 || 1260989 | 1259456 | 1261072 || 1264533 | 1263403 | 1263934 || 1264547 | 1267533 | 1269120 || 1267067 | 1269168 | 1270533 || 1268188 | 16777216 | 1271178 || 1274632 | 1270330 | 1268866 || 1270895 | 1276020 | 1274088 || 1272262 | 1270194 | 1268829 || 1275449 | 1277302 | 1274265 || 1278426 | 1277888 | 1278239 || 1278897 | 1281452 | 1278270; TOFFMS=0|768|1520|2288|3056|3808|4576|5344|6096|6864|7632|8384|9151|9919|10671|11439|12207|12959|13727|14495|15247|16015|16767|17535|18303|19055|19823|20591|21343|22111|22879|23633|24399|25167|25919|26687|27455|28207|28975
Group1; 773.869414; 2026-07-07 11:19:11.580114; 1278727 | 1281744 | 1281789 || 1280152 | 1280826 | 1284407 || 1278794 | 1276080 | 1281829 || 1283284 | 1282608 | 1283332 || 1283958 | 1286512 | 1287770 || 1285740 | 1288599 | 1288975 || 1286954 | 16777216 | 1290605 || 1293740 | 1289477 | 1287068 || 1289861 | 1295304 | 1293308 || 1291480 | 1289551 | 1288088 || 1294347 | 1296673 | 1293539 || 1297881 | 1297218 | 1296002 || 1298192 | 1300887 | 1296764; TOFFMS=0|752|1520|2288|3040|3808|4576|5328|6096|6863|7615|8383|9135|9903|10671|11423|12191|12959|13711|14479|15247|15999|16767|17535|18287|19055|19823|20575|21343|22111|22863|23631|24399|25151|25919|26671|27439|28207|28959
Group1; 803.595946; 2026-07-07 11:19:41.306646; 1298287 | 1301265 | 1301546 || 1299347 | 1300032 | 1303577 || 1298442 | 1295626 | 1298622 || 1302418 | 1301453 | 1302331 || 1303023 | 1305649 | 1307811 || 1304325 | 1307365 | 1308359 || 1306435 | 16777216 | 1310245 || 1313314 | 1308713 | 1307038 || 1309118 | 1314844 | 1313191 || 1310776 | 1308462 | 1306756 || 1313850 | 1315589 | 1313448 || 1316773 | 1315975 | 1316098 || 1317686 | 1319901 | 1316619; TOFFMS=0|768|1520|2288|3056|3808|4576|5344|6096|6864|7632|8384|9152|9920|10672|11440|12207|12959|13728|14495|15247|16015|16783|17535|18303|19055|19823|20591|21343|22111|22879|23631|24399|25167|25919|26687|27455|28207|28975
Group1; 833.338645; 2026-07-07 11:20:11.049345; 1317829 | 1320422 | 1320618 || 1319075 | 1319644 | 1323446 || 1317630 | 1316173 | 1321290 || 1321677 | 1320784 | 1323116 || 1322140 | 1325461 | 1326855 || 1324108 | 1327200 | 1328487 || 1325432 | 16777216 | 1328909 || 1332103 | 1328049 | 1326453 || 1327987 | 1333942 | 1332083 || 1329844 | 1326418 | 1327912 || 1333107 | 1335208 | 1332994 || 1336286 | 1335753 | 1335646 || 1337472 | 1339963 | 1335919; TOFFMS=0|752|1520|2288|3040|3808|4576|5328|6096|6864|7616|8384|9136|9904|10672|11424|12192|12959|13711|14479|15247|15999|16767|17536|18287|19055|19823|20575|21343|22111|22863|23631|24383|25151|25919|26671|27439|28207|28959
