Group1; SecondsElapsed; DateTimePC; N95_NTC1 | N95_NTC2 | N95_TestSB || N13_NTC1 | N13_NTC2 | N13_TestSB || N18_NTC1 | N18_NTC2 | N18_TestSB || N19_NTC1 | N19_NTC2 | N19_TestSB || N25_NTC1 | N25_NTC2 | N25_TestSB || N26_NTC1 | N26_NTC2 | N26_TestSB || N28_NTC1 | N28_NTC2 | N28_TestSB || N35_NTC1 | N35_NTC2 | N35_TestSB || N62_NTC1 | N62_NTC2 | N62_TestSB || N85_NTC1 | N85_NTC2 | N85_TestSB || N86_NTC1 | N86_NTC2 | N86_TestSB || N87_NTC1 | N87_NTC2 | N87_TestSB || N98_NTC1 | N98_NTC2 | N98_TestSB
Group1; 1874.105667; 2026-07-07 11:37:31.816367; 1899029 | 1902385 | 1901779 || 1899796 | 1899675 | 1902778 || 1901457 | 1899140 | 1898926 || 1902160 | 1898134 | 1898448 || 1899337 | 1901676 | 1903423 || 1899544 | 1902579 | 1902690 || 1899279 | 16777216 | 1903678 || 1908220 | 1901089 | 1897653 || 1900580 | 1907934 | 1904920 || 1904098 | 1899898 | 1900413 || 1905390 | 1905672 | 1902461 || 1905207 | 1904163 | 1904168 || 1906326 | 1908605 | 1903124; TOFFMS=0|752|1520|2288|3040|3808|4576|5328|6096|6864|7616|8384|9151|9904|10671|11424|12191|12959|13711|14479|15247|15999|16767|17535|18287|19055|19823|20575|21343|22111|22863|23631|24399|25151|25919|26687|27439|28207|28959
Group1; 1903.832617; 2026-07-07 11:38:01.543317; 1904422 | 1907942 | 1907898 || 1905218 | 1904935 | 1908496 || 1906638 | 1904677 | 1904851 || 1907784 | 1904026 | 1904370 || 1905675 | 1907941 | 1909459 || 1905841 | 1908685 | 1909208 || 1905548 | 16777216 | 1909419 || 1914366 | 1907330 | 1904258 || 1906877 | 1914073 | 1911088 || 1910423 | 1905932 | 1906451 || 1911948 | 1911857 | 1909117 || 1911623 | 1910857 | 1910654 || 1913188 | 1915178 | 1910054; TOFFMS=0|768|1520|2288|3056|3808|4576|5344|6096|6864|7631|8384|9151|9919|10672|11440|12207|12959|13727|14495|15247|16015|16783|17535|18303|19071|19823|20592|21343|22111|22879|23631|24399|25167|25919|26687|27455|28207|28975
Group1; 1933.575238; 2026-07-07 11:38:31.285938; 1911094 | 1914496 | 1914264 || 1911968 | 1911649 | 1914989 || 1913337 | 1910674 | 1910753 || 1914436 | 1910566 | 1911194 || 1912027 | 1914712 | 1916804 || 1912425 | 1915704 | 1916055 || 1911804 | 16777216 | 1915297 || 1920169 | 1912990 | 1909500 || 1912108 | 1919383 | 1916130 || 1915688 | 1911465 | 1912697 || 1916657 | 1916135 | 1913599 || 1914850 | 1913703 | 1913788 || 1915970 | 1917218 | 1912284; TOFFMS=0|752|1520|2288|3040|3808|4576|5328|6096|6864|7616|8384|9152|9904|10672|11423|12191|12959|13711|14480|15247|16000|16767|17535|18287|19055|19823|20575|21343|22111|22863|23631|24399|25151|25919|26687|27439|28207|28975
Group1; 1963.302184; 2026-07-07 11:39:01.012884; 1912399 | 1915276 | 1914897 || 1912667 | 1911602 | 1914338 || 1915464 | 1914375 | 1912398 || 1914023 | 1907603 | 1907778 || 1908398 | 1909624 | 1911084 || 1906726 | 1909422 | 1908882 || 1903619 | 16777216 | 1905956 || 1911363 | 1903470 | 1899686 || 1901475 | 1907899 | 1904904 || 1906564 | 1902878 | 1906222 || 1904993 | 1901535 | 1900081 || 1898001 | 1896965 | 1896632 || 1899208 | 1899712 | 1895108; TOFFMS=0|768|1536|2288|3056|3808|4576|5344|6096|6864|7632|8384|9151|9920|10671|11439|12208|12960|13728|14495|15247|16015|16783|17535|18303|19071|19823|20591|21359|22111|22879|23647|24399|25167|25919|26687|27455|28207|28975
Group1; 1993.045347; 2026-07-07 11:39:30.756047; 1894317 | 1896162 | 1896420 || 1894078 | 1892035 | 1894065 || 1900530 | 1902005 | 1894187 || 1894591 | 1887200 | 1887181 || 1886569 | 1886952 | 1887903 || 1883905 | 1885829 | 1885358 || 1880463 | 16777216 | 1884196 || 1888896 | 1881035 | 1877912 || 1878706 | 1884699 | 1882037 || 1885501 | 1881293 | 1885846 || 1882819 | 1879011 | 1878832 || 1876601 | 1876001 | 1875521 || 1877928 | 1878077 | 1873844; TOFFMS=0|751|1519|2287|3039|3807|4575|5327|6095|6863|7615|8383|9151|9903|10671|11439|12191|12959|13727|14479|15247|16015|16767|17535|18303|19055|19823|20575|21343|22111|22863|23631|24399|25150|25918|26687|27439|28207|28974
Group1; 2022.77185; 2026-07-07 11:40:00.482550; 1872769 | 1875359 | 1874915 || 1873908 | 1871649 | 1874065 || 1879772 | 1881329 | 1873500 || 1874510 | 1867325 | 1867382 || 1867783 | 1868995 | 1870522 || 1866084 | 1868645 | 1868174 || 1863970 | 16777216 | 1867033 || 1872537 | 1864229 | 1860703 || 1862698 | 1869412 | 1866559 || 1868695 | 1864110 | 1867346 || 1866293 | 1863901 | 1863024 || 1861407 | 1860632 | 1860609 || 1862855 | 1864109 | 1859975; TOFFMS=0|768|1536|2288|3056|3824|4576|5344|6112|6864|7631|8383|9151|9919|10671|11439|12207|12959|13727|14495|15247|16015|16783|17535|18303|19071|19823|20591|21360|22111|22879|23647|24399|25167|25935|26687|27455|28207|28975
Group1; 2052.514475; 2026-07-07 11:40:30.225175; 1858872 | 1861392 | 1860940 || 1859472 | 1857689 | 1859628 || 1864683 | 1865299 | 1858136 || 1859993 | 1853144 | 1852943 || 1853254 | 1853678 | 1854831 || 1850656 | 1852732 | 1851351 || 1847386 | 16777216 | 1849658 || 1855118 | 1846861 | 1843248 || 1845135 | 1850531 | 1847419 || 1850248 | 1846659 | 1850335 || 1848081 | 1843971 | 1842584 || 1840835 | 1839193 | 1838636 || 1841779 | 1841893 | 1837026; TOFFMS=0|752|1520|2288|3040|3808|4576|5328|6096|6864|7616|8384|9152|9904|10672|11440|12192|12960|13728|14480|15247|16016|16767|17535|18303|19056|19823|20575|21343|22111|22863|23631|24399|25151|25919|26687|27439|28207|28975
Group1; 2082.241525; 2026-07-07 11:40:59.952225; 1836661 | 1838721 | 1836626 || 1836490 | 1835180 | 1835819 || 1842991 | 1844373 | 1835279 || 1835988 | 1827615 | 1826809 || 1827200 | 1827987 | 1829084 || 1825294 | 1826047 | 1827203 || 1818921 | 16777216 | 1821333 || 1827028 | 1819561 | 1815212 || 1816300 | 1823179 | 1819304 || 1822973 | 1818958 | 1824788 || 1819644 | 1815898 | 1815144 || 1811450 | 1811146 | 1810318 || 1813120 | 1813107 | 1806908; TOFFMS=0|768|1536|2288|3056|3824|4576|5344|6112|6863|7631|8384|9151|9920|10671|11439|12207|12959|13727|14495|15247|16015|16783|17535|18303|19071|19823|20591|21359|22111|22879|23647|24399|25167|25935|26687|27455|28207|28975
Group1; 2111.984112; 2026-07-07 11:41:29.694812; 1806487 | 1808831 | 1810080 || 1806682 | 1805317 | 1807568 || 1815126 | 1819240 | 1808955 || 1807574 | 1799991 | 1798091 || 1799711 | 1799473 | 1800664 || 1797227 | 1798110 | 1798013 || 1793230 | 16777216 | 1795755 || 1801190 | 1792235 | 1788420 || 1790756 | 1796546 | 1793309 || 1797114 | 1793818 | 1797806 || 1794038 | 1789814 | 1789373 || 1786229 | 1785645 | 1784679 || 1788351 | 1788110 | 1782917; TOFFMS=0|752|1520|2288|3040|3808|4576|5328|6096|6864|7616|8384|9152|9904|10672|11439|12192|12960|13727|14479|15247|16015|16767|17535|18303|19055|19823|20591|21343|22111|22863|23631|24399|25151|25919|26687|27439|28207|28975
Group1; 2141.711067; 2026-07-07 11:41:59.421767; 1781860 | 1784504 | 1784058 || 1782488 | 1780281 | 1781475 || 1789624 | 1792170 | 1780664 || 1782625 | 1774903 | 1773711 || 1775032 | 1775221 | 1777168 || 1771962 | 1773924 | 1775515 || 1767749 | 16777216 | 1770375 || 1775730 | 1767332 | 1764530 || 1765579 | 1772080 | 1768394 || 1771762 | 1768212 | 1773794 || 1768428 | 1764198 | 1764058 || 1760519 | 1759308 | 1758566 || 1761557 | 1761457 | 1758175; TOFFMS=0|768|1536|2288|3056|3824|4576|5344|6111|6864|7632|8399|9152|9919|10671|11439|12207|12959|13727|14496|15247|16015|16783|17535|18303|19071|19823|20591|21359|22111|22879|23647|24399|25167|25935|26687|27455|28223|28975
Group1; 2171.453633; 2026-07-07 11:42:29.164333; 1755868 | 1758159 | 1756577 || 1756622 | 1753834 | 1754954 || 1763530 | 1766564 | 1753354 || 1755771 | 1747709 | 1746337 || 1747154 | 1746698 | 1746626 || 1743696 | 1744577 | 1743087 || 1739101 | 16777216 | 1741923 || 1746692 | 1738484 | 1735239 || 1736229 | 1741114 | 1738912 || 1743565 | 1739772 | 1742277 || 1739864 | 1734716 | 1734170 || 1729668 | 1729500 | 1728499 || 1731147 | 1730492 | 1725843; TOFFMS=0|768|1520|2288|3040|3808|4576|5328|6096|6864|7616|8384|9152|9904|10672|11440|12192|12960|13727|14479|15248|16015|16767|17536|18303|19055|19824|20591|21343|22111|22863|23631|24399|25151|25919|26687|27439|28207|28975
Group1; 2201.180559; 2026-07-07 11:42:58.891259; 1724900 | 1726685 | 1725750 || 1725598 | 1723543 | 1725721 || 1733370 | 1735736 | 1727723 || 1724732 | 1717017 | 1715415 || 1716658 | 1716850 | 1717365 || 1713882 | 1715258 | 1714811 || 1708968 | 16777216 | 1710876 || 1715998 | 1708135 | 1704638 || 1705785 | 1712073 | 1708170 || 1713269 | 1710192 | 1712657 || 1708809 | 1703535 | 1702952 || 1701247 | 1699309 | 1699643 || 1702258 | 1701530 | 1697820; TOFFMS=0|768|1536|2288|3056|3824|4576|5344|6112|6864|7632|8400|9152|9920|10672|11440|12207|12960|13727|14495|15247|16015|16784|17535|18303|19071|19823|20591|21359|22112|22879|23647|24399|25167|25935|26687|27455|28223|28975
Group1; 2230.923423; 2026-07-07 11:43:28.634123; 1695694 | 1697747 | 1696405 || 1695323 | 1693434 | 1696351 || 1703543 | 1707207 | 1699392 || 1695857 | 1687731 | 1687219 || 1687054 | 1687815 | 1688829 || 1685144 | 1685916 | 1686276 || 1680219 | 16777216 | 1682162 || 1687771 | 1679060 | 1676823 || 1676726 | 1682501 | 1680090 || 1683563 | 1679009 | 1684971 || 1679707 | 1674583 | 1675105 || 1671260 | 1669860 | 1669738 || 1671904 | 1672410 | 1667770; TOFFMS=0|768|1520|2288|3040|3808|4576|5328|6096|6864|7616|8384|9152|9904|10673|11439|12192|12960|13727|14479|15248|16016|16767|17536|18303|19055|19823|20591|21343|22111|22879|23631|24399|25151|25919|26687|27439|28207|28975
Group1; 2260.650232; 2026-07-07 11:43:58.360932; 1666712 | 1668923 | 1667832 || 1665773 | 1664007 | 1665593 || 1673951 | 1676099 | 1667862 || 1665514 | 1657418 | 1657066 || 1657066 | 1657508 | 1658349 || 1653891 | 1655535 | 1656299 || 1649359 | 16777216 | 1652079 || 1656923 | 1649414 | 1646524 || 1646639 | 1652342 | 1649073 || 1653470 | 1649121 | 1655402 || 1648934 | 1644554 | 1645164 || 1641106 | 1640739 | 1639251 || 1642078 | 1641264 | 1637012; TOFFMS=0|768|1536|2288|3056|3824|4576|5344|6112|6864|7632|8400|9152|9920|10672|11440|12208|12959|13728|14496|15247|16016|16784|17535|18303|19071|19823|20591|21359|22111|22879|23647|24399|25167|25935|26687|27455|28223|28975
Group1; 2290.392952; 2026-07-07 11:44:28.103652; 1636191 | 1638045 | 1637050 || 1635476 | 1634282 | 1635800 || 1643062 | 1646790 | 1636979 || 1635863 | 1627515 | 1626134 || 1627883 | 1626310 | 1628511 || 1623684 | 1624412 | 1625151 || 1619265 | 16777216 | 1621181 || 1626176 | 1618441 | 1615801 || 1616254 | 1621362 | 1618709 || 1623215 | 1619561 | 1624121 || 1619667 | 1615349 | 1613721 || 1610335 | 1609873 | 1609700 || 1611256 | 1611208 | 1607106; TOFFMS=0|768|1520|2288|3040|3808|4576|5328|6096|6864|7616|8384|9152|9904|10672|11440|12192|12960|13728|14480|15248|16016|16768|17535|18303|19055|19823|20591|21343|22111|22879|23631|24399|25151|25919|26687|27439|28207|28975
Group1; 2320.119911; 2026-07-07 11:44:57.830611; 1606466 | 1607995 | 1606715 || 1605397 | 1603724 | 1605107 || 1613134 | 1616768 | 1606826 || 1605772 | 1597828 | 1595975 || 1597250 | 1597399 | 1596307 || 1594094 | 1594692 | 1594544 || 1588891 | 16777216 | 1590841 || 1596492 | 1588498 | 1586090 || 1585929 | 1592180 | 1589200 || 1592813 | 1589205 | 1592388 || 1588266 | 1584978 | 1583386 || 1581512 | 1579429 | 1578314 || 1580678 | 1580302 | 1578632; TOFFMS=0|768|1536|2288|3056|3824|4576|5344|6112|6864|7632|8400|9152|9919|10687|11439|12208|12975|13728|14495|15247|16015|16783|17535|18304|19071|19823|20591|21359|22111|22879|23647|24399|25167|25935|26687|27455|28223|28975
Group1; 2349.862857; 2026-07-07 11:45:27.573557; 1575874 | 1577290 | 1576751 || 1574642 | 1572478 | 1575246 || 1582836 | 1585009 | 1577223 || 1574708 | 1566809 | 1565731 || 1566334 | 1566394 | 1567228 || 1564066 | 1564993 | 1564152 || 1559461 | 16777216 | 1561668 || 1565630 | 1557953 | 1555859 || 1556375 | 1562022 | 1558902 || 1564184 | 1558825 | 1563525 || 1558571 | 1552693 | 1554053 || 1549464 | 1548739 | 1548192 || 1550836 | 1550883 | 1548109; TOFFMS=0|768|1520|2288|3056|3808|4576|5328|6096|6864|7615|8384|9151|9903|10671|11439|12191|12959|13727|14479|15247|16015|16767|17535|18303|19055|19823|20591|21343|22111|22879|23631|24399|25151|25919|26687|27439|28207|28975
Group1; 2379.589673; 2026-07-07 11:45:57.300373; 1545802 | 1547528 | 1547339 || 1545042 | 1543306 | 1544104 || 1552619 | 1554571 | 1545439 || 1544823 | 1536804 | 1536096 || 1535472 | 1535636 | 1537070 || 1532472 | 1533880 | 1535087 || 1528037 | 16777216 | 1529667 || 1535599 | 1527847 | 1524810 || 1525835 | 1529758 | 1526840 || 1531357 | 1528014 | 1534938 || 1527637 | 1524068 | 1522056 || 1520557 | 1519377 | 1518605 || 1519609 | 1519763 | 1515468; TOFFMS=0|768|1536|2288|3056|3824|4576|5344|6112|6864|7632|8400|9152|9919|10687|11439|12207|12959|13727|14495|15247|16015|16783|17535|18303|19071|19823|20591|21359|22111|22879|23647|24399|25167|25935|26687|27455|28223|28975
Group1; 2409.332282; 2026-07-07 11:46:27.042982; 1514002 | 1515961 | 1516099 || 1513971 | 1511845 | 1514138 || 1521627 | 1524201 | 1516159 || 1513398 | 1505720 | 1505258 || 1504705 | 1505284 | 1504861 || 1502075 | 1503633 | 1502472 || 1497582 | 16777216 | 1499741 || 1504225 | 1497061 | 1494560 || 1494632 | 1498845 | 1496951 || 1500738 | 1496888 | 1501235 || 1496713 | 1492439 | 1491778 || 1489050 | 1488351 | 1488227 || 1490330 | 1489751 | 1485692; TOFFMS=0|768|1520|2288|3056|3808|4576|5328|6096|6864|7616|8384|9152|9904|10672|11440|12191|12959|13727|14480|15248|16015|16768|17535|18303|19055|19823|20591|21343|22111|22879|23631|24399|25167|25919|26687|27439|28207|28975
Group1; 2439.059046; 2026-07-07 11:46:56.769746; 1485170 | 1486496 | 1485947 || 1484141 | 1482078 | 1485095 || 1491214 | 1494244 | 1485328 || 1483648 | 1476792 | 1475712 || 1475637 | 1475564 | 1476781 || 1473232 | 1474419 | 1473396 || 1468968 | 16777216 | 1471163 || 1474576 | 1467650 | 1464668 || 1465676 | 1470239 | 1467228 || 1471721 | 1468229 | 1472820 || 1468756 | 1464542 | 1463984 || 1461440 | 1459988 | 1459883 || 1461674 | 1461349 | 1458979; TOFFMS=0|768|1536|2289|3056|3824|4576|5344|6112|6864|7632|8400|9152|9920|10688|11440|12208|12976|13727|14495|15264|16016|16783|17551|18303|19071|19823|20592|21359|22111|22879|23647|24399|25167|25935|26687|27455|28223|28975
Group1; 2468.80192; 2026-07-07 11:47:26.512620; 1456135 | 1457820 | 1458306 || 1455506 | 1453727 | 1455477 || 1462793 | 1463630 | 1455647 || 1455614 | 1447800 | 1447356 || 1447111 | 1447442 | 1448678 || 1444407 | 1445768 | 1446415 || 1439689 | 16777216 | 1441466 || 1446060 | 1438944 | 1436086 || 1437339 | 1441394 | 1437956 || 1442739 | 1439012 | 1444547 || 1438847 | 1434642 | 1434190 || 1431333 | 1430025 | 1430132 || 1431836 | 1431576 | 1428102; TOFFMS=0|768|1520|2288|3056|3808|4576|5344|6096|6864|7632|8384|9152|9904|10672|11440|12191|12959|13727|14480|15248|16015|16767|17535|18303|19055|19823|20591|21343|22111|22879|23631|24399|25167|25919|26687|27455|28207|28975
Group1; 2498.544658; 2026-07-07 11:47:56.255358; 1426744 | 1427969 | 1428349 || 1425811 | 1423971 | 1426087 || 1433247 | 1433153 | 1426105 || 1424974 | 1418330 | 1417925 || 1418144 | 1417394 | 1417386 || 1414759 | 1415648 | 1415851 || 1410185 | 16777216 | 1411719 || 1416263 | 1409497 | 1406131 || 1407655 | 1412737 | 1409643 || 1412989 | 1409887 | 1414164 || 1409328 | 1405430 | 1405899 || 1402255 | 1401674 | 1400924 || 1402894 | 1402320 | 1399092; TOFFMS=0|752|1520|2272|3040|3808|4560|5328|6096|6848|7616|8384|9136|9904|10672|11424|12192|12960|13712|14480|15247|15999|16767|17519|18287|19055|19807|20575|21343|22095|22863|23631|24383|25151|25919|26671|27439|28207|28959
Group1; 2528.271469; 2026-07-07 11:48:25.982169; 1398000 | 1398852 | 1398271 || 1397852 | 1394952 | 1396918 || 1404047 | 1405019 | 1399082 || 1396328 | 1389446 | 1388890 || 1389140 | 1388953 | 1389465 || 1387050 | 1388111 | 1386973 || 1383542 | 16777216 | 1384604 || 1388946 | 1382157 | 1378930 || 1380640 | 1383962 | 1380549 || 1385804 | 1382438 | 1386467 || 1382244 | 1377912 | 1376668 || 1374895 | 1373799 | 1372628 || 1374950 | 1374580 | 1369683; TOFFMS=0|768|1520|2288|3056|3808|4576|5344|6096|6864|7632|8384|9152|9904|10672|11440|12192|12960|13728|14479|15247|16015|16767|17535|18303|19055|19823|20591|21343|22111|22879|23631|24399|25167|25919|26687|27455|28207|28975
Group1; 2558.014198; 2026-07-07 11:48:55.724898; 1369731 | 1371231 | 1370699 || 1370591 | 1368471 | 1369165 || 1377504 | 1377446 | 1367590 || 1369206 | 1362500 | 1362436 || 1361902 | 1362182 | 1363554 || 1359433 | 1360048 | 1360898 || 1355038 | 16777216 | 1355604 || 1361533 | 1353313 | 1350117 || 1352969 | 1355838 | 1353210 || 1358174 | 1353743 | 1359383 || 1353709 | 1350266 | 1350474 || 1346471 | 1345347 | 1345766 || 1346855 | 1346350 | 1343774; TOFFMS=0|752|1520|2288|3040|3808|4560|5328|6096|6848|7616|8384|9136|9904|10672|11424|12192|12960|13712|14480|15248|15999|16767|17535|18287|19055|19807|20575|21343|22095|22863|23631|24383|25151|25919|26671|27439|28207|28959
Group1; 2587.741158; 2026-07-07 11:49:25.451858; 1341763 | 1343280 | 1344263 || 1341380 | 1339608 | 1340923 || 1348647 | 1350360 | 1340790 || 1340493 | 1333866 | 1333302 || 1333429 | 1332957 | 1332620 || 1330310 | 1330599 | 1330195 || 1326059 | 16777216 | 1328113 || 1332368 | 1326123 | 1323466 || 1324314 | 1329208 | 1325888 || 1329552 | 1326640 | 1328698 || 1325851 | 1321970 | 1320625 || 1318238 | 1317373 | 1317188 || 1319021 | 1318891 | 1313254; TOFFMS=0|768|1520|2288|3056|3808|4576|5344|6096|6864|7632|8384|9152|9904|10671|11440|12191|12960|13728|14479|15247|16015|16768|17535|18303|19055|19823|20591|21343|22111|22879|23631|24399|25167|25919|26687|27455|28207|28975
Group1; 2617.483951; 2026-07-07 11:49:55.194651; 1313837 | 1315398 | 1314335 || 1313997 | 1312105 | 1313556 || 1320574 | 1323030 | 1311935 || 1313438 | 1307006 | 1306448 || 1306033 | 1306940 | 1306533 || 1303532 | 1304607 | 1304056 || 1299502 | 16777216 | 1300641 || 1304911 | 1298591 | 1295932 || 1296727 | 1300593 | 1298057 || 1302194 | 1297852 | 1302717 || 1298045 | 1295287 | 1293940 || 1292373 | 1291434 | 1289604 || 1292489 | 1292474 | 1287851; TOFFMS=0|752|1520|2272|3040|3808|4560|5328|6096|6848|7616|8384|9136|9904|10672|11424|12191|12960|13711|14479|15247|16000|16767|17535|18287|19054|19805|20572|21340|22091|22858|23626|24377|25145|25912|26664|27431|28199|28951
Group1; 2647.201585; 2026-07-07 11:50:24.912285; 1287300 | 1288690 | 1287885 || 1287075 | 1285556 | 1287124 || 1293338 | 1295347 | 1286139 || 1286877 | 1280648 | 1279907 || 1280415 | 1280477 | 1280754 || 1277235 | 1278194 | 1278062 || 1273344 | 16777216 | 1274406 || 1279073 | 1272335 | 1269258 || 1270619 | 1274697 | 1271804 || 1276047 | 1271150 | 1275972 || 1272082 | 1268544 | 1268700 || 1266209 | 1265442 | 1264937 || 1266183 | 1265716 | 1262922; TOFFMS=0|768|1519|2287|3054|3806|4574|5342|6093|6861|7628|8380|9148|9900|10667|11435|12187|12955|13723|14475|15242|16010|16762|17530|18298|19049|19817|20585|21337|22105|22873|23625|24392|25161|25912|26680|27448|28200|28968
Group1; 2676.937519; 2026-07-07 11:50:54.648219; 1260967 | 1262851 | 1263561 || 1261164 | 1259526 | 1261108 || 1267632 | 1267508 | 1259487 || 1260983 | 1254701 | 1253172 || 1253927 | 1253620 | 1254294 || 1251288 | 1252149 | 1252616 || 1248156 | 16777216 | 1249125 || 1254167 | 1247564 | 1244253 || 1246597 | 1248563 | 1245963 || 1250514 | 1245900 | 1250971 || 1247161 | 1243390 | 1242128 || 1240791 | 1239692 | 1238989 || 1240533 | 1240926 | 1238421; TOFFMS=0|752|1520|2272|3040|3808|4560|5327|6095|6848|7615|8383|9135|9903|10671|11423|12191|12959|13711|14479|15246|15999|16767|17534|18286|19054|19806|20574|21342|22094|22862|23630|24382|25150|25918|26670|27438|28206|28958
Group1; 2706.663297; 2026-07-07 11:51:24.373997; 1236608 | 1238258 | 1237418 || 1235547 | 1234149 | 1235401 || 1241915 | 1241181 | 1234234 || 1235729 | 1229833 | 1229251 || 1229743 | 1229030 | 1229169 || 1226493 | 1227050 | 1227651 || 1220906 | 16777216 | 1223555 || 1226689 | 1221230 | 1218291 || 1219821 | 1223355 | 1220063 || 1224796 | 1219956 | 1226343 || 1221075 | 1216512 | 1215151 || 1214984 | 1213246 | 1212191 || 1215171 | 1214580 | 1210176; TOFFMS=0|768|1520|2288|3056|3808|4576|5344|6096|6864|7632|8384|9152|9920|10672|11439|12192|12959|13727|14479|15247|16015|16767|17535|18303|19055|19823|20591|21343|22111|22879|23631|24399|25167|25919|26687|27455|28207|28975
Group1; 2736.406463; 2026-07-07 11:51:54.117163; 1210756 | 1211716 | 1210696 || 1209390 | 1208216 | 1210092 || 1215757 | 1217181 | 1207566 || 1209582 | 1203458 | 1202298 || 1202712 | 1202592 | 1202837 || 1200585 | 1200781 | 1201564 || 1196303 | 16777216 | 1197628 || 1201952 | 1196012 | 1193545 || 1193915 | 1197147 | 1195401 || 1198942 | 1194493 | 1199078 || 1195496 | 1191928 | 1191519 || 1189790 | 1188929 | 1187733 || 1190224 | 1189827 | 1185891; TOFFMS=0|752|1520|2272|3039|3807|4559|5327|6095|6848|7615|8383|9135|9903|10671|11423|12191|12959|13711|14479|15247|15999|16767|17535|18287|19055|19807|20575|21343|22095|22863|23631|24383|25151|25919|26670|27438|28206|28958
Group1; 2766.132844; 2026-07-07 11:52:23.843544; 1185564 | 1186563 | 1185861 || 1184734 | 1183230 | 1185458 || 1190377 | 1190896 | 1186876 || 1184214 | 1179102 | 1177945 || 1178681 | 1178504 | 1178031 || 1176016 | 1176925 | 1176358 || 1172596 | 16777216 | 1173461 || 1177493 | 1171249 | 1169021 || 1169853 | 1173482 | 1171742 || 1174466 | 1170383 | 1173526 || 1171817 | 1168248 | 1167536 || 1165636 | 1165198 | 1163864 || 1165781 | 1165671 | 1162083; TOFFMS=0|768|1520|2288|3056|3808|4576|5344|6096|6864|7632|8384|9152|9920|10672|11440|12192|12960|13728|14479|15248|16016|16767|17536|18303|19055|19823|20591|21343|22111|22879|23631|24399|25167|25919|26687|27455|28207|28975
Group1; 2795.87563; 2026-07-07 11:52:53.586330; 1161782 | 1163006 | 1162011 || 1161079 | 1159681 | 1160222 || 1166718 | 1166743 | 1159902 || 1160551 | 1155668 | 1153577 || 1154707 | 1154836 | 1154519 || 1152348 | 1152789 | 1151893 || 1148549 | 16777216 | 1150157 || 1153757 | 1148208 | 1145698 || 1146586 | 1149536 | 1146961 || 1150890 | 1146211 | 1151182 || 1147898 | 1144670 | 1143636 || 1142511 | 1141859 | 1140848 || 1143290 | 1141952 | 1138320; TOFFMS=0|752|1520|2288|3040|3808|4560|5328|6096|6848|7616|8384|9136|9904|10672|11424|12192|12960|13712|14480|15248|16000|16768|17535|18287|19055|19807|20575|21343|22095|22863|23631|24383|25151|25919|26671|27439|28207|28959
Group1; 2825.602736; 2026-07-07 11:53:23.313436; 1138546 | 1139415 | 1138683 || 1137536 | 1135958 | 1137392 || 1143428 | 1144747 | 1135389 || 1137418 | 1132294 | 1131426 || 1131627 | 1131617 | 1133074 || 1129172 | 1129109 | 1129989 || 1124799 | 16777216 | 1126630 || 1130237 | 1124708 | 1122226 || 1123284 | 1125474 | 1123650 || 1127623 | 1123390 | 1127660 || 1124317 | 1121011 | 1120276 || 1118448 | 1117655 | 1116841 || 1118545 | 1118338 | 1115220; TOFFMS=0|768|1520|2288|3056|3808|4576|5344|6096|6864|7632|8384|9152|9920|10671|11440|12191|12959|13728|14479|15247|16015|16767|17535|18303|19056|19823|20591|21343|22111|22879|23631|24399|25167|25919|26687|27455|28207|28975
Group1; 2855.345468; 2026-07-07 11:53:53.056168; 1114507 | 1115523 | 1115200 || 1113893 | 1112341 | 1114232 || 1119308 | 1118064 | 1113282 || 1113572 | 1108322 | 1107356 || 1107507 | 1107097 | 1107841 || 1105124 | 1105776 | 1105921 || 1101943 | 16777216 | 1102679 || 1106717 | 1100630 | 1098518 || 1099686 | 1102414 | 1100572 || 1104341 | 1099606 | 1103809 || 1101363 | 1098269 | 1096553 || 1095853 | 1094903 | 1094053 || 1095791 | 1095620 | 1092924; TOFFMS=0|752|1520|2288|3040|3808|4560|5328|6096|6848|7616|8384|9136|9904|10672|11424|12191|12959|13711|14480|15248|15999|16768|17535|18288|19055|19823|20575|21343|22095|22863|23631|24383|25151|25919|26671|27439|28207|28959
Group1; 2885.072333; 2026-07-07 11:54:22.783033; 1091786 | 1092578 | 1092196 || 1091005 | 1089561 | 1091172 || 1096027 | 1095651 | 1092256 || 1090639 | 1085567 | 1084292 || 1085122 | 1085305 | 1085458 || 1083355 | 1083697 | 1084053 || 1079654 | 16777216 | 1081428 || 1084619 | 1079209 | 1077050 || 1078070 | 1080710 | 1078232 || 1082486 | 1078529 | 1080918 || 1078991 | 1076038 | 1074793 || 1073513 | 1072991 | 1072230 || 1073774 | 1074134 | 1071628; TOFFMS=0|768|1520|2288|3056|3808|4576|5344|6096|6864|7632|8384|9152|9920|10672|11440|12191|12960|13728|14480|15247|16016|16767|17535|18303|19055|19823|20591|21343|22111|22879|23631|24400|25167|25919|26687|27455|28207|28975
