Group1; SecondsElapsed; DateTimePC; N95_NTC1 | N95_NTC2 | N95_TestSB || N13_NTC1 | N13_NTC2 | N13_TestSB || N18_NTC1 | N18_NTC2 | N18_TestSB || N19_NTC1 | N19_NTC2 | N19_TestSB || N25_NTC1 | N25_NTC2 | N25_TestSB
Group1; 446.028551; 2026-07-06 14:00:18.409910; 967784 | 969483 | 969543 || 967948 | 967573 | 969946 || 969600 | 968603 | 968276 || 969020 | 966697 | 966919 || 966942 | 968328 | 969007
Group1; 457.46815; 2026-07-06 14:00:29.849509; 967427 | 969008 | 968994 || 967563 | 967341 | 969458 || 969395 | 968331 | 967838 || 968594 | 966278 | 966391 || 966430 | 967835 | 968616
Group1; 468.907684; 2026-07-06 14:00:41.289043; 967020 | 968578 | 968357 || 966912 | 966662 | 968732 || 968917 | 967919 | 967290 || 968031 | 965910 | 966271 || 966173 | 967759 | 968472
Group1; 480.347192; 2026-07-06 14:00:52.728551; 966881 | 968161 | 968051 || 966746 | 966456 | 968712 || 968638 | 967625 | 967240 || 967972 | 965912 | 966142 || 966114 | 967232 | 967798
Group1; 491.770773; 2026-07-06 14:01:04.152132; 966254 | 968091 | 968040 || 966671 | 966477 | 968711 || 968521 | 967533 | 967239 || 967961 | 966148 | 966526 || 966495 | 967944 | 968624
Group1; 503.210403; 2026-07-06 14:01:15.591762; 967041 | 968429 | 968456 || 967009 | 966897 | 969191 || 968873 | 967752 | 967554 || 968250 | 966136 | 966245 || 966274 | 967685 | 968443
Group1; 514.650074; 2026-07-06 14:01:27.031433; 966880 | 968596 | 968808 || 967325 | 967325 | 969760 || 969024 | 968026 | 968039 || 968819 | 966813 | 967058 || 967047 | 968440 | 969218
Group1; 526.089495; 2026-07-06 14:01:38.470854; 967606 | 969216 | 969203 || 967789 | 967502 | 969526 || 969362 | 968302 | 967963 || 968723 | 966435 | 967111 || 966812 | 968542 | 969151
Group1; 537.529118; 2026-07-06 14:01:49.910477; 967637 | 969059 | 968977 || 967509 | 967168 | 969458 || 969267 | 968217 | 967804 || 968640 | 966450 | 966822 || 966721 | 968418 | 969154
Group1; 548.952665; 2026-07-06 14:02:01.334024; 967492 | 968991 | 968894 || 967233 | 967005 | 969363 || 969115 | 968221 | 967960 || 968655 | 966547 | 966884 || 966842 | 968322 | 968758
Group1; 560.392323; 2026-07-06 14:02:12.773682; 967152 | 968628 | 968570 || 967397 | 967212 | 969709 || 969215 | 968306 | 968104 || 968701 | 966512 | 966497 || 966510 | 967712 | 968479
Group1; 571.831898; 2026-07-06 14:02:24.213257; 966890 | 968714 | 968795 || 967455 | 967205 | 969453 || 969148 | 968137 | 967729 || 968491 | 966104 | 966251 || 966283 | 967485 | 968287
Group1; 583.258266; 2026-07-06 14:02:35.639625; 966661 | 968481 | 968693 || 967338 | 967110 | 969436 || 969050 | 967990 | 967788 || 968456 | 966198 | 966270 || 966336 | 967686 | 968581
Group1; 594.669717; 2026-07-06 14:02:47.051076; 966927 | 968669 | 968873 || 967379 | 967069 | 969212 || 969072 | 967917 | 967583 || 968347 | 966155 | 966372 || 966445 | 967863 | 968661
Group1; 606.103624; 2026-07-06 14:02:58.484983; 967128 | 968889 | 969010 || 967502 | 967285 | 969624 || 969154 | 968090 | 967726 || 968624 | 966236 | 966332 || 966543 | 967951 | 968676
Group1; 617.540424; 2026-07-06 14:03:09.921783; 967132 | 968641 | 968681 || 967164 | 966987 | 969333 || 969028 | 968001 | 967791 || 968523 | 966383 | 966584 || 966562 | 968073 | 969008
Group1; 628.978786; 2026-07-06 14:03:21.360145; 967188 | 968877 | 969037 || 967348 | 967216 | 969533 || 969129 | 968110 | 967895 || 968763 | 966586 | 966574 || 966626 | 967959 | 968847
Group1; 640.417861; 2026-07-06 14:03:32.799220; 967209 | 969011 | 969347 || 967694 | 967554 | 969770 || 969322 | 968216 | 968103 || 968740 | 966501 | 966692 || 966721 | 968095 | 968824
Group1; 651.841042; 2026-07-06 14:03:44.222401; 967100 | 968770 | 968927 || 967478 | 967110 | 969273 || 969152 | 968077 | 967854 || 968512 | 966521 | 966676 || 966702 | 968139 | 968771
Group1; 663.280899; 2026-07-06 14:03:55.662258; 967274 | 968942 | 968996 || 967615 | 967225 | 969420 || 969223 | 968111 | 967605 || 968399 | 965937 | 966496 || 966396 | 968054 | 968861
Group1; 674.720034; 2026-07-06 14:04:07.101393; 967259 | 968913 | 969015 || 967454 | 967214 | 969179 || 969167 | 968058 | 967663 || 968452 | 966081 | 966291 || 966354 | 967921 | 968745
Group1; 686.159573; 2026-07-06 14:04:18.540932; 967206 | 968838 | 968858 || 967330 | 966965 | 969132 || 969072 | 967981 | 967585 || 968467 | 966510 | 966645 || 966675 | 967852 | 968543
Group1; 697.583128; 2026-07-06 14:04:29.964487; 966876 | 968544 | 968516 || 967128 | 966828 | 969147 || 968960 | 967886 | 967775 || 968357 | 966214 | 966363 || 966416 | 967731 | 968399
Group2; SecondsElapsed; DateTimePC; N26_NTC1 | N26_NTC2 | N26_TestSB || N28_NTC1 | N28_NTC2 | N28_TestSB || N35_NTC1 | N35_NTC2 | N35_TestSB || N62_NTC1 | N62_NTC2 | N62_TestSB || N85_NTC1 | N85_NTC2 | N85_TestSB
Group2; 697.659388; 2026-07-06 14:04:30.040747; New Node Array: 26 28 35 62 85
Group2; 697.659715; 2026-07-06 14:04:30.041074; 
Group2; 709.067233; 2026-07-06 14:04:41.448592; N26_NTC1 | N26_NTC2 | N26_TestSB || N28_NTC1 | N28_NTC2 | N28_TestSB || N35_NTC1 | N35_NTC2 | N35_TestSB || N62_NTC1 | N62_NTC2 | N62_TestSB || N85_NTC1 | N85_NTC2 | N85_TestSB
Group2; 720.506678; 2026-07-06 14:04:52.888037; 967121 | 968114 | 968520 || 966047 | 16777216 | 968233 || 970687 | 966848 | 965134 || 966583 | 969862 | 968288 || 968749 | 966316 | 967014
Group2; 731.946; 2026-07-06 14:05:04.327359; 967343 | 968443 | 968686 || 966132 | 16777216 | 968277 || 970822 | 967023 | 965133 || 966574 | 969722 | 968228 || 968795 | 966382 | 967041
Group2; 743.369315; 2026-07-06 14:05:15.750674; 967457 | 968456 | 968687 || 965702 | 16777216 | 967976 || 970404 | 966636 | 964996 || 966586 | 969874 | 968354 || 968810 | 966384 | 967024
Group2; 754.809089; 2026-07-06 14:05:27.190448; 967405 | 968436 | 968478 || 965547 | 16777216 | 967787 || 970348 | 966654 | 964993 || 966389 | 969766 | 968395 || 968709 | 966347 | 966991
Group2; 766.248601; 2026-07-06 14:05:38.629960; 967362 | 968159 | 968128 || 965421 | 16777216 | 968084 || 970509 | 966708 | 965093 || 966490 | 969722 | 968186 || 968724 | 966199 | 966997
Group2; 777.688275; 2026-07-06 14:05:50.069634; 967225 | 968244 | 968714 || 966105 | 16777216 | 968306 || 970728 | 966981 | 965253 || 966601 | 969704 | 968084 || 968732 | 966165 | 966999
Group2; 789.12809; 2026-07-06 14:06:01.509449; 967280 | 968251 | 968479 || 965809 | 16777216 | 968299 || 970649 | 966797 | 965039 || 966352 | 969510 | 968066 || 968679 | 966106 | 966971
Group2; 800.55129; 2026-07-06 14:06:12.932649; 967505 | 968590 | 968965 || 966081 | 16777216 | 968147 || 970606 | 966843 | 965142 || 966554 | 969689 | 968151 || 968726 | 966305 | 967043
Group2; 811.991263; 2026-07-06 14:06:24.372622; 967450 | 968764 | 968918 || 966203 | 16777216 | 967912 || 970706 | 966660 | 965037 || 966631 | 969724 | 968206 || 968880 | 966321 | 967027
Group2; 823.430608; 2026-07-06 14:06:35.811967; 967565 | 968475 | 968689 || 966080 | 16777216 | 968004 || 970733 | 966767 | 964912 || 966670 | 969884 | 968434 || 969022 | 966601 | 967054
Group2; 834.87015; 2026-07-06 14:06:47.251509; 967864 | 968867 | 968956 || 965784 | 16777216 | 967935 || 970541 | 966818 | 965121 || 966663 | 969901 | 968309 || 968917 | 966400 | 967037
Group2; 846.293615; 2026-07-06 14:06:58.674974; 967655 | 968662 | 968929 || 966010 | 16777216 | 967910 || 970349 | 966673 | 965248 || 966508 | 969943 | 968628 || 968939 | 966505 | 967144
Group2; 857.733341; 2026-07-06 14:07:10.114700; 967532 | 968357 | 968110 || 965636 | 16777216 | 967718 || 970541 | 966620 | 965266 || 966793 | 970105 | 968447 || 968897 | 966335 | 967018
Group2; 869.172816; 2026-07-06 14:07:21.554175; 967203 | 968133 | 968466 || 965816 | 16777216 | 968124 || 970603 | 966825 | 964955 || 966466 | 969581 | 967968 || 968615 | 966083 | 966813
Group2; 880.612501; 2026-07-06 14:07:32.993860; 967031 | 968010 | 968270 || 965578 | 16777216 | 967998 || 970409 | 966681 | 964997 || 966351 | 969642 | 968352 || 968709 | 966274 | 966932
Group2; 892.052126; 2026-07-06 14:07:44.433485; 967446 | 968184 | 968148 || 965527 | 16777216 | 967837 || 970601 | 966913 | 965246 || 966846 | 970118 | 968431 || 968957 | 966422 | 966974
Group2; 903.475739; 2026-07-06 14:07:55.857098; 967277 | 968050 | 968338 || 965686 | 16777216 | 968203 || 970789 | 967160 | 965425 || 966853 | 970067 | 968214 || 968684 | 966264 | 966965
Group2; 914.91527; 2026-07-06 14:08:07.296629; 967230 | 968400 | 968774 || 965914 | 16777216 | 968139 || 970597 | 966863 | 965114 || 966533 | 969708 | 968054 || 968691 | 966129 | 966892
Group2; 926.354918; 2026-07-06 14:08:18.736277; 967123 | 968193 | 968418 || 965946 | 16777216 | 968146 || 970456 | 966643 | 965082 || 966419 | 969679 | 968264 || 968683 | 966259 | 966973
Group2; 937.794493; 2026-07-06 14:08:30.175852; 967273 | 968351 | 968595 || 965992 | 16777216 | 968042 || 970623 | 966570 | 964878 || 966464 | 969849 | 968271 || 968892 | 966332 | 967025
Group2; 949.234116; 2026-07-06 14:08:41.615475; 967532 | 968319 | 968513 || 965869 | 16777216 | 968204 || 970736 | 966906 | 965159 || 966653 | 969874 | 968322 || 968900 | 966448 | 967031
