"run","setpoint_C","Tref_C","node","channel","flag","counts","R_mean","resid_mK","bias_SM_mK","win_min","sprt_sd_mK","sprt_drift_mK","settled"
"B_20260705-091555_-37to-15",-35,-35.1675108167914,"N88","NTC2","ok",3452499.78461538,148923.160985835,11.4833331046427,-9.4,30,5.8,4.4,TRUE
"B_20260705-091555_-37to-15",-35,-35.1675108167914,"N88","TestSB","ok",3456708.6,149186.069017707,-21.6352312700465,-129,30,5.8,4.4,TRUE
"B_20260705-091555_-37to-15",-35,-35.1675108167914,"N89","NTC1","ok",3452939.72307692,148950.628778011,8.02017457103688,-8.8,30,5.8,4.4,TRUE
"B_20260705-091555_-37to-15",-35,-35.1675108167914,"N89","NTC2","ok",3459674.33846154,149371.499343602,-44.9549584433626,-10.4,30,5.8,4.4,TRUE
"B_20260705-091555_-37to-15",-35,-35.1675108167914,"N89","TestSB","ok",3459286.21538462,149347.224159288,-41.9039396302665,-64,30,5.8,4.4,TRUE
"B_20260705-091555_-37to-15",-35,-35.1675108167914,"N90","NTC1","ok",3450112.03076923,148774.1349097,30.2850199047313,-10.2,30,5.8,4.4,TRUE
"B_20260705-091555_-37to-15",-35,-35.1675108167914,"N90","NTC2","ok",3462590.69230769,149553.98109868,-67.8725051484506,-7.9,30,5.8,4.4,TRUE
"B_20260705-091555_-37to-15",-35,-35.1675108167914,"N90","TestSB","ok",3462301.44615385,149535.876252963,-65.6001391685166,-9.1,30,5.8,4.4,TRUE
"B_20260705-091555_-37to-15",-35,-35.1675108167914,"N91","NTC1","ok",3454950.01538462,149076.182311606,-7.80067720845778,-91.7,30,5.8,4.4,TRUE
"B_20260705-091555_-37to-15",-35,-35.1675108167914,"N91","NTC2","ok",3453793.98461538,149003.973998133,1.2963977308047,-12.4,30,5.8,4.4,TRUE
"B_20260705-091555_-37to-15",-35,-35.1675108167914,"N91","TestSB","ok",3453729.12307692,148999.923239822,1.80687253409673,-12.8,30,5.8,4.4,TRUE
"B_20260705-091555_-37to-15",-35,-35.1667758052788,"N29","NTC1","ok",3460660.81666667,149433.209691577,-53.4435366956814,-66.2,30,5.8,4.4,TRUE
"B_20260705-091555_-37to-15",-35,-35.1667758052788,"N29","NTC2","ok",3464671.2,149684.246808079,-84.9483565607443,-11,30,5.8,4.4,TRUE
