"plateau","setpoint_C","node","channel","flag","Tref_C","Tref_K","counts_mean","R_mean","T_meanS4_C","resid_mK","T_SM_C","bias_SM_mK","n_sprt"
1,-5,"N94","NTC1","ok",-5.30265574008507,267.847344259915,1054686.75,34709.4626734635,-5.38131782215976,-78.6620820746862,-5.32787198633849,-25.2,33
1,-5,"N94","NTC2","ok",-5.30265574008507,267.847344259915,1053426.75,34663.6785247819,-5.35190863449077,-49.2528944056971,-5.32588110302709,-23.2,33
1,-5,"N94","TestSB","ok",-5.30265574008507,267.847344259915,1054680.25,34709.2264561259,-5.38116620129426,-78.5104612091914,-5.32029117266069,-17.6,33
1,-5,"N96","NTC1","ok",-5.30265574008507,267.847344259915,1052532.5,34631.1914158669,-5.33101421281907,-28.3584727339985,-5.3219392157244,-19.3,33
1,-5,"N96","NTC2","ok",-5.30265574008507,267.847344259915,1054265.25,34694.1455160724,-5.37148379247884,-68.8280523937692,-5.32047935897094,-17.8,33
1,-5,"N96","TestSB","ok",-5.30265574008507,267.847344259915,1050983.5,34574.9315543829,-5.29477789717015,7.87784291492244,-5.33655226126598,-33.9,33
1,-5,"N97","NTC1","ok",-5.30265574008507,267.847344259915,1049372,34516.4199636618,-5.25702084543792,45.6348946471508,-5.29244205976443,10.2,33
1,-5,"N97","NTC2","ok",-5.30265574008507,267.847344259915,1051858.33333333,34606.7034864345,-5.31524996912935,-12.5942290442822,-5.29315672178302,9.5,33
1,-5,"N97","TestSB","ok",-5.30265574008507,267.847344259915,1052004.66666667,34612.0185124916,-5.31867261320394,-16.0168731188719,-5.29686086763741,5.8,33
1,-5,"N98","NTC1","FAULTY",-5.30265574008507,267.847344259915,2012150,73142.7135971327,-21.2546852333503,-15952.0294932652,-21.2245438470117,-15921.9,33
1,-5,"N98","NTC2","FAULTY",-5.30265574008507,267.847344259915,1914452,68856.751478414,-20.0208709941867,-14718.2152541016,-19.9657025609278,-14663,33
1,-5,"N98","TestSB","FAULTY",-5.30265574008507,267.847344259915,1840612,65676.989474849,-19.0486857397338,-13746.0299996487,-19.0573541728221,-13754.7,33
1,-5,"N99","NTC1","ok",-5.30265574008507,267.847344259915,1054514,34703.1848466336,-5.37728787781288,-74.6321377278036,-5.3013311890212,1.3,33
1,-5,"N99","NTC2","ok",-5.30265574008507,267.847344259915,1051827.66666667,34605.5896508007,-5.3145326328123,-11.8768927272299,-5.2945978084976,8.1,33
1,-5,"N99","TestSB","ok",-5.30265574008507,267.847344259915,1049968.66666667,34538.0820268345,-5.27100758493788,31.6481551471952,-5.28763934559549,15,33
2,-10,"N29","NTC1","ok",-10.2939670433227,262.856032956677,1289808.5,43457.3984748888,-10.3198161172207,-25.8490738979731,-10.3027370714812,-8.8,34
2,-10,"N29","NTC2","ok",-10.2939670433227,262.856032956677,1291729,43530.5672204029,-10.3562653334282,-62.2982901055025,-10.2890460664792,4.9,34
2,-10,"N29","TestSB","ok",-10.2939670433227,262.856032956677,1286615,43335.7929130496,-10.2590853420694,34.8817012533118,-10.2822581830726,11.7,34
2,-10,"N88","NTC1","ok",-10.2939670433227,262.856032956677,1293236,43588.0020368148,-10.3848285122117,-90.8614688889884,-10.2945575818701,-0.6,34
2,-10,"N88","NTC2","ok",-10.2939670433227,262.856032956677,1286880,43345.8808807785,-10.2641306235804,29.8364197423098,-10.2975726407154,-3.6,34
2,-10,"N88","TestSB","ok",-10.2939670433227,262.856032956677,1288913,43423.2907226475,-10.3028017011606,-8.83465783789461,-10.3149062941992,-20.9,34
2,-10,"N89","NTC1","ok",-10.2939670433227,262.856032956677,1287815.75,43381.5071555506,-10.2819378044759,12.0292388468215,-10.3011014292322,-7.1,34
2,-10,"N89","NTC2","ok",-10.2939670433227,262.856032956677,1291089,43506.1808277853,-10.3441248276426,-50.1577843199357,-10.3064077060316,-12.4,34
2,-10,"N89","TestSB","ok",-10.2939670433227,262.856032956677,1290853.5,43497.2081926204,-10.3396559747151,-45.6889313924194,-10.3119137031918,-17.9,34
2,-10,"N90","NTC1","ok",-10.2939670433227,262.856032956677,1286894.75,43346.442396763,-10.264411415083,29.5556282397342,-10.3044406932587,-10.5,34
2,-10,"N90","NTC2","ok",-10.2939670433227,262.856032956677,1291561,43524.1654864718,-10.3530790373947,-59.1119940719409,-10.3060820079782,-12.1,34
2,-10,"N90","TestSB","ok",-10.2939670433227,262.856032956677,1291829.75,43534.4064599341,-10.3581759624805,-64.2089191578066,-10.308585528319,-14.6,34
2,-10,"N91","NTC1","ok",-10.2939670433227,262.856032956677,1288403.75,43403.8971954539,-10.2931206842952,0.846359027491417,-10.3263165394143,-32.3,34
2,-10,"N91","NTC2","ok",-10.2939670433227,262.856032956677,1287937.75,43386.1524889787,-10.2842584849144,9.70855840830609,-10.3123546463491,-18.4,34
2,-10,"N91","TestSB","ok",-10.2939670433227,262.856032956677,1288125.25,43393.2920569932,-10.2878246725376,6.14237078514179,-10.3194483062458,-25.5,34
2,-10,"N92","NTC1","ok",-10.2939670433227,262.856032956677,1288512.33333333,43408.0321555756,-10.2951852140849,-1.21817076222897,-10.3270612066097,-33.1,34
2,-10,"N92","NTC2","ok",-10.2939670433227,262.856032956677,1288028.66666667,43389.6143523445,-10.2859877550145,7.97928830820638,-10.3132017120828,-19.2,34
2,-10,"N92","TestSB","ok",-10.2939670433227,262.856032956677,1291892,43536.7786346687,-10.3593564001858,-65.3893568631361,-10.3154841390921,-21.5,34
2,-10,"N93","NTC1","ok",-10.2939670433227,262.856032956677,1292472.66666667,43558.9076700589,-10.3703647382877,-76.39769496501,-10.3157305113181,-21.8,34
2,-10,"N93","NTC2","ok",-10.2939670433227,262.856032956677,1289169.33333333,43433.0533002666,-10.3076732271422,-13.7061838195223,-10.3138196420439,-19.9,34
2,-10,"N93","TestSB","ok",-10.2939670433227,262.856032956677,1288377.66666667,43402.903930005,-10.2926247273796,1.34231594307721,-10.3120021510883,-18,34
2,-10,"N94","NTC1","ok",-10.2939670433227,262.856032956677,1292204,43548.6685392329,-10.3652719476075,-71.3049042847729,-10.3117716655468,-17.8,34
2,-10,"N94","NTC2","ok",-10.2939670433227,262.856032956677,1290768.66666667,43493.9761167462,-10.3380459743449,-44.0789310221703,-10.3117847487905,-17.8,34
2,-10,"N94","TestSB","ok",-10.2939670433227,262.856032956677,1292419.33333333,43556.875043946,-10.3693538473192,-75.38680399648,-10.3091404060135,-15.2,34
2,-10,"N96","NTC1","ok",-10.2939670433227,262.856032956677,1289706,43453.4941474704,-10.3178692302534,-23.9021869306839,-10.3071444544913,-13.2,34
2,-10,"N96","NTC2","ok",-10.2939670433227,262.856032956677,1291911.33333333,43537.5153804301,-10.3597230037142,-65.7559603915274,-10.3084904434613,-14.5,34
2,-10,"N96","TestSB","ok",-10.2939670433227,262.856032956677,1287855.66666667,43383.0270300244,-10.2826971225332,11.2699207894593,-10.3287137346688,-34.7,34
2,-10,"N97","NTC1","ok",-10.2939670433227,262.856032956677,1285968,43311.165317295,-10.2467628372459,47.2042060768558,-10.2854106797178,8.6,34
2,-10,"N97","NTC2","ok",-10.2939670433227,262.856032956677,1289096.5,43430.2793564112,-10.3062891542228,-12.3221109000724,-10.2848201551653,9.1,34
2,-10,"N97","TestSB","ok",-10.2939670433227,262.856032956677,1289299.5,43438.0109539543,-10.3101466257345,-16.1795824117803,-10.289502102398,4.5,34
2,-10,"N98","NTC1","FAULTY",-10.2939670433227,262.856032956677,2246000,83782.742334338,-23.9981540835563,-13704.1870402336,-23.9672641387347,-13673.3,34
2,-10,"N98","NTC2","FAULTY",-10.2939670433227,262.856032956677,2102337,77181.1520750734,-22.3454851055675,-12051.5180622448,-22.2904867417261,-11996.5,34
2,-10,"N98","TestSB","FAULTY",-10.2939670433227,262.856032956677,1981311,71779.978111536,-20.8713449831946,-10577.3779398719,-20.8794768682983,-10585.5,34
2,-10,"N99","NTC1","ok",-10.2939670433227,262.856032956677,1292274.5,43551.3553043985,-10.3666084344925,-72.6413911697819,-10.292632927186,1.3,34
2,-10,"N99","NTC2","ok",-10.2939670433227,262.856032956677,1289152,43432.3931360071,-10.3073438439364,-13.3768006136847,-10.2879844187983,6,34
2,-10,"N99","TestSB","ok",-10.2939670433227,262.856032956677,1286616.5,43335.8500132314,-10.2591139032145,34.8531401081686,-10.2810829744749,12.9,34
